date,restricted_denied_count,unrestricted_denied_count,matched_count,coverage
2019-06-28,0.00,0.00,448,0.10
2019-06-29,0.00,0.00,728,1.00
2019-06-30,0.00,0.00,848,1.00
2019-07-01,0.00,0.00,1232,1.00
2019-07-02,0.00,0.00,1488,1.00
2019-07-03,0.00,0.00,1552,1.00
2019-07-04,0.00,0.00,1488,1.00
2019-07-05,0.00,0.00,1144,1.00
2019-07-06,0.00,0.00,800,1.00
2019-07-07,0.00,0.00,728,1.00
2019-07-08,0.00,0.00,816,1.00
2019-07-09,0.00,0.00,1032,1.00
2019-07-10,0.00,0.00,1472,1.00
2019-07-11,0.00,0.00,1544,1.00
2019-07-12,0.00,0.00,1168,1.00
2019-07-13,0.00,0.00,1160,1.00
2019-07-14,0.00,0.00,1312,1.00
2019-07-15,0.00,0.00,1464,1.00
2019-07-16,0.00,0.00,1488,1.00
2019-07-17,0.00,0.00,1136,1.00
2019-07-18,0.00,0.00,616,1.00
2019-07-19,0.00,0.00,512,1.00
2019-07-20,0.00,0.00,640,1.00
2019-07-21,0.00,0.00,656,1.00
2019-07-22,0.00,0.00,656,1.00
2019-07-23,0.00,0.00,776,1.00
2019-07-24,0.00,0.00,424,0.90
2019-07-25,0.00,0.00,472,0.17
2019-07-26,0.00,0.00,736,1.00
2019-07-27,0.00,0.00,736,1.00
2019-07-28,0.00,0.00,984,1.00
2019-07-29,0.00,0.00,1032,1.00
2019-07-30,0.00,0.00,1088,1.00
2019-07-31,0.00,0.00,1016,1.00
2019-08-01,0.00,0.00,960,1.00
2019-08-02,0.00,0.00,856,1.00
2019-08-03,0.00,0.00,696,1.00
2019-08-04,0.00,0.00,800,1.00
2019-08-05,0.00,0.00,960,1.00
2019-08-06,0.00,0.00,1376,1.00
2019-08-07,0.00,0.00,1256,1.00
2019-08-08,0.00,0.00,728,1.00
2019-08-09,0.00,0.00,608,1.00
2019-08-10,0.00,0.00,536,1.00
2019-08-11,0.00,0.00,752,1.00
2019-08-12,0.00,0.00,840,1.00
2019-08-13,0.00,0.00,352,0.83
2019-08-14,0.00,0.00,200,0.18
2019-08-15,0.00,0.00,504,1.00
2019-08-16,0.00,0.00,520,1.00
2019-08-17,0.00,0.00,456,1.00
2019-08-18,0.00,0.00,464,1.00
2019-08-19,0.00,0.00,384,1.00
2019-08-20,0.00,0.00,376,1.00
2019-08-21,0.00,0.00,328,1.00
2019-08-22,0.00,0.00,112,0.82
2019-08-23,0.00,0.00,160,0.30
2019-08-24,0.00,0.00,400,1.00
2019-08-25,0.00,0.00,480,1.00
2019-08-26,0.00,0.00,240,0.70
2019-08-27,0.00,0.00,224,0.41
2019-08-28,0.00,0.00,592,1.00
2019-08-29,0.00,0.00,744,1.00
2019-08-30,0.00,0.00,744,1.00
2019-08-31,0.00,0.00,632,1.00
2019-09-01,0.00,0.00,720,1.00
2019-09-02,0.00,0.00,768,0.86
2019-09-03,0.00,0.00,848,1.00
2019-09-04,0.00,0.00,984,1.00
2019-09-05,0.00,0.00,912,1.00
2019-09-06,0.00,0.00,792,1.00
2019-09-07,0.00,0.00,480,1.00
2019-09-08,0.00,0.00,544,1.00
2019-09-09,0.00,0.00,616,1.00
2019-09-10,0.00,0.00,416,1.00
2019-09-11,0.00,0.00,192,0.73
2019-09-12,0.00,0.00,392,0.40
2019-09-13,0.00,0.00,728,1.00
2019-09-14,0.00,0.00,624,1.00
2019-09-15,0.00,0.00,656,1.00
2019-09-16,0.00,0.00,920,1.00
2019-09-17,0.00,0.00,1136,1.00
2019-09-18,0.00,0.00,984,1.00
2019-09-19,0.00,0.00,672,1.00
2019-09-20,0.00,0.00,480,1.00
2019-09-21,0.00,0.00,376,1.00
2019-09-22,0.00,0.00,352,1.00
2019-09-23,0.00,0.00,392,1.00
2019-09-24,0.00,0.00,400,1.00
2019-09-25,0.00,0.00,472,1.00
2019-09-26,0.00,0.00,648,1.00
2019-09-27,0.00,0.00,552,1.00
2019-09-28,0.00,0.00,336,1.00
2019-09-29,0.00,0.00,184,1.00
2019-09-30,0.00,0.00,224,1.00
2019-10-01,0.00,0.00,448,1.00
2019-10-02,0.00,0.00,920,1.00
2019-10-03,0.00,0.00,984,1.00
2019-10-04,0.00,0.00,624,1.00
2019-10-05,0.00,0.00,528,1.00
2019-10-06,0.00,0.00,632,1.00
2019-10-07,0.00,0.00,1016,1.00
2019-10-08,0.00,0.00,1152,1.00
2019-10-09,0.00,0.00,992,1.00
2019-10-10,0.00,0.00,448,0.60
2019-10-11,0.00,0.00,520,0.40
2019-10-12,0.00,0.00,1280,1.00
2019-10-13,0.00,0.00,1368,1.00
2019-10-14,0.00,0.00,1176,1.00
2019-10-15,0.00,0.00,1552,1.00
2019-10-16,0.00,0.00,1912,1.00
2019-10-17,0.00,0.00,2144,1.00
2019-10-18,0.00,0.00,1936,1.00
2019-10-19,0.00,0.00,1416,1.00
2019-10-20,0.00,0.00,1648,1.00
2019-10-21,0.00,0.00,1800,1.00
2019-10-22,0.00,0.00,1856,1.00
2019-10-23,0.00,0.00,1656,1.00
2019-10-24,0.00,0.00,1864,1.00
2019-10-25,0.00,0.00,1640,1.00
2019-10-26,0.00,0.00,648,1.00
2019-10-27,0.00,0.00,784,1.00
2019-10-28,0.00,0.00,1064,1.00
2019-10-29,0.00,0.00,1016,1.00
2019-10-30,0.00,0.00,1120,1.00
2019-10-31,0.00,0.00,1168,1.00
2019-11-01,0.00,0.00,1016,1.00
2019-11-02,0.00,0.00,1208,1.00
2019-11-03,0.00,0.00,1224,1.00
2019-11-04,0.00,0.00,1336,1.00
2019-11-05,0.00,0.00,1656,1.00
2019-11-06,0.00,0.00,1504,1.00
2019-11-07,0.00,0.00,1512,1.00
2019-11-08,0.00,0.00,1304,1.00
2019-11-09,0.00,0.00,1280,1.00
2019-11-10,0.00,0.00,1392,1.00
2019-11-11,0.00,0.00,1304,1.00
2019-11-12,0.00,0.00,1464,1.00
2019-11-13,0.00,0.00,1784,0.74
2019-11-14,0.00,0.00,1416,1.00
2019-11-15,0.00,0.00,408,1.00
2019-11-16,0.00,0.00,0,1.00
2019-11-17,0.00,0.00,0,1.00
2019-11-18,0.00,0.00,0,1.00
2019-11-19,0.00,0.00,0,1.00
2019-11-20,0.00,0.00,0,1.00
2019-11-21,0.00,0.00,0,0.86
2019-11-23,0.00,0.00,488,0.65
2019-11-24,0.00,0.00,1232,1.00
2019-11-25,0.00,0.00,1472,1.00
2019-11-26,0.00,0.00,1776,1.00
2019-11-27,0.00,0.00,2080,1.00
2019-11-28,0.00,0.00,1696,1.00
2019-11-29,0.00,0.00,1664,1.00
2019-11-30,0.00,0.00,1592,1.00
2019-12-01,0.00,0.00,1592,1.00
2019-12-02,0.00,0.00,1944,1.00
2019-12-03,0.00,0.00,944,0.35
2019-12-05,0.00,0.00,1600,0.32
2019-12-06,0.00,0.00,3520,1.00
2019-12-07,0.00,0.00,2544,1.00
2019-12-08,0.00,0.00,1640,1.00
2019-12-09,0.00,0.00,2016,1.00
2019-12-10,0.00,0.00,1456,1.00
2019-12-11,0.00,0.00,1128,1.00
2019-12-12,0.00,0.00,1216,1.00
2019-12-13,0.00,0.00,928,1.00
2019-12-14,0.00,0.00,976,1.00
2019-12-15,0.00,0.00,1120,1.00
2019-12-16,0.00,0.00,904,1.00
2019-12-17,0.00,0.00,912,1.00
2019-12-18,0.00,0.00,1312,1.00
2019-12-19,0.00,0.00,1584,1.00
2019-12-20,0.00,0.00,1288,1.00
2019-12-21,0.00,0.00,1056,1.00
2019-12-22,0.00,0.00,1144,1.00
2019-12-23,0.00,0.00,1112,1.00
2019-12-24,0.00,0.00,928,1.00
2019-12-25,0.00,0.00,968,1.00
2019-12-26,0.00,0.00,1336,1.00
2019-12-27,0.00,0.00,1032,1.00
2019-12-28,0.00,0.00,568,1.00
2019-12-29,0.00,0.00,600,1.00
2019-12-30,0.00,0.00,592,1.00
2019-12-31,0.00,0.00,488,1.00
2020-01-01,0.00,0.00,640,1.00
2020-01-02,0.00,0.00,984,1.00
2020-01-03,0.00,0.00,960,1.00
2020-01-04,0.00,0.00,1000,1.00
2020-01-05,0.00,0.00,1224,1.00
2020-01-06,0.00,0.00,1520,1.00
2020-01-07,0.00,0.00,1568,1.00
2020-01-08,0.00,0.00,1352,1.00
2020-01-09,0.00,0.00,2048,1.00
2020-01-10,0.00,0.00,3296,1.00
2020-01-11,0.00,0.00,2376,1.00
2020-01-12,0.00,0.00,2336,1.00
2020-01-13,0.00,0.00,2752,1.00
2020-01-14,0.00,0.00,1288,1.00
2020-01-15,0.00,0.00,976,1.00
2020-01-16,0.00,0.00,1192,1.00
2020-01-17,0.00,0.00,968,1.00
2020-01-18,0.00,0.00,752,1.00
2020-01-19,0.00,0.00,920,1.00
2020-01-20,0.00,0.00,1280,1.00
2020-01-21,0.00,0.00,1488,1.00
2020-01-22,0.00,0.00,1184,1.00
2020-01-23,0.00,0.00,912,1.00
2020-01-24,0.00,0.00,1080,1.00
2020-01-25,0.00,0.00,1080,1.00
2020-01-26,0.00,0.00,912,1.00
2020-01-27,0.00,0.00,896,1.00
2020-01-28,0.00,0.00,960,1.00
2020-01-29,0.00,0.00,984,1.00
2020-01-30,0.00,0.00,1072,1.00
2020-01-31,0.00,0.00,984,1.00
2020-02-01,0.00,0.00,712,1.00
2020-02-02,0.00,0.00,832,1.00
2020-02-03,0.00,0.00,864,1.00
2020-02-04,0.00,0.00,808,1.00
2020-02-05,0.00,0.00,1152,1.00
2020-02-06,0.00,0.00,1576,1.00
2020-02-07,0.00,0.00,1280,1.00
2020-02-08,0.00,0.00,976,1.00
