date,type,unique_ips,coverage
2019-06-28,,1.63,0.10
2019-06-29,,16.71,1.00
2019-06-30,,13.81,1.00
2019-07-01,,13.34,1.00
2019-07-02,,27.25,1.00
2019-07-03,,38.62,1.00
2019-07-04,,34.71,1.00
2019-07-05,,31.14,1.00
2019-07-06,,22.62,1.00
2019-07-07,,19.38,1.00
2019-07-08,,22.90,1.00
2019-07-09,,22.29,1.00
2019-07-10,,24.62,1.00
2019-07-11,,23.30,1.00
2019-07-12,,50.09,1.00
2019-07-13,,96.37,1.00
2019-07-14,,81.10,1.00
2019-07-15,,86.03,1.00
2019-07-16,,133.03,1.00
2019-07-17,,217.81,1.00
2019-07-18,,218.30,1.00
2019-07-19,,241.73,1.00
2019-07-20,,262.61,1.00
2019-07-21,,312.43,1.00
2019-07-22,,372.71,1.00
2019-07-23,,362.22,1.00
2019-07-24,,261.25,0.90
2019-07-25,,88.97,0.17
2019-07-26,,539.03,1.00
2019-07-27,,658.25,1.00
2019-07-28,,703.07,1.00
2019-07-29,,628.35,1.00
2019-07-30,,714.06,1.00
2019-07-31,,752.47,1.00
2019-08-01,,768.15,1.00
2019-08-02,,737.25,1.00
2019-08-03,,715.22,1.00
2019-08-04,,699.50,1.00
2019-08-05,,818.74,1.00
2019-08-06,,806.19,1.00
2019-08-07,,978.47,1.00
2019-08-08,,1203.64,1.00
2019-08-09,,1330.96,1.00
2019-08-10,,1348.11,1.00
2019-08-11,,1455.85,1.00
2019-08-12,,2144.32,1.00
2019-08-13,,2278.39,0.83
2019-08-14,,514.70,0.18
2019-08-15,,2903.46,1.00
2019-08-16,,2821.37,1.00
2019-08-17,,2606.95,1.00
2019-08-18,,2479.95,1.00
2019-08-19,,2753.14,1.00
2019-08-20,,2829.82,1.00
2019-08-21,,2862.71,1.00
2019-08-22,,2539.91,0.82
2019-08-23,,786.02,0.30
2019-08-24,,2587.13,1.00
2019-08-25,,2667.78,1.00
2019-08-26,,2094.07,0.70
2019-08-27,,1218.29,0.41
2019-08-28,,3010.50,1.00
2019-08-29,,3128.53,1.00
2019-08-30,,3049.61,1.00
2019-08-31,,2776.04,1.00
2019-09-01,,2757.69,1.00
