domain,domain_category,domain_is_control,date,start_time,end_time,retry,server_ip,server_netblock,server_asn,server_as_name,server_as_full_name,server_as_class,server_country,server_organization,received_error,received_tls_version,received_tls_cipher_suite,received_tls_cert,received_tls_cert_matches_domain,received_tls_cert_common_name,received_tls_cert_issuer,received_tls_cert_alternative_names,received_status,received_headers,received_body,is_known_blockpage,page_signature,outcome,matches_template,no_response_in_measurement_matches_template,controls_failed,stateful_block,measurement_id,source
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-07-28,2022-07-28 06:00:57.020684 UTC,2022-07-28 06:00:57.434818 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,53be111594f658c08c616272043b1554,CP_Quack-http-2022-07-28-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-07-28,2022-07-28 06:01:06.997127 UTC,2022-07-28 06:01:07.605668 UTC,0,95.85.124.61,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,7be794db625e5f1d839144816a9c9288,CP_Quack-http-2022-07-28-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-07-28,2022-07-28 06:00:57.025274 UTC,2022-07-28 06:00:57.429692 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,c0e20344c4885fb3a2cf85b23efe24a0,CP_Quack-http-2022-07-28-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-07-26,2023-07-26 12:28:39.262591 UTC,2023-07-26 12:28:39.733748 UTC,0,216.250.9.185,216.250.8.0/21,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,,,,,,,,,[],,[],,,,expected/match,true,false,false,false,7431bf24fe615a44b27006c26d621c0b,CP_Quack-http-2023-07-26-07-28-03
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-02-28,2022-02-28 06:54:49.601215 UTC,2022-02-28 06:54:50.015468 UTC,0,95.85.120.184,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,e40683d4879e53afacfb550b66888ff1,CP_Quack-http-2022-02-28-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-02-28,2022-02-28 06:54:49.600033 UTC,2022-02-28 06:54:50.016695 UTC,0,217.174.238.158,217.174.224.0/20,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,5cdcf71781a752f083776bcb9e3cc477,CP_Quack-http-2022-02-28-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-02-28,2022-02-28 06:54:49.600730 UTC,2022-02-28 06:54:49.993597 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,4a9856eaee1c5960bf2890301f40fbdb,CP_Quack-http-2022-02-28-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-02-28,2022-02-28 06:54:49.599217 UTC,2022-02-28 06:54:50.010765 UTC,0,95.85.120.174,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,62fca6b05dc658c0820cffe09a9089a5,CP_Quack-http-2022-02-28-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-02-28,2022-02-28 06:54:49.604078 UTC,2022-02-28 06:54:50.004167 UTC,0,217.174.238.99,217.174.224.0/20,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,5fc37e2e07de53f5a4db44f379706ae6,CP_Quack-http-2022-02-28-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-02-21,2022-02-21 07:01:50.696493 UTC,2022-02-21 07:01:51.095651 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,f1de324b8de7520cb725d1b189fdbf42,CP_Quack-http-2022-02-21-01-01-01
