domain,domain_category,domain_is_control,date,start_time,end_time,retry,server_ip,server_netblock,server_asn,server_as_name,server_as_full_name,server_as_class,server_country,server_organization,received_error,received_tls_version,received_tls_cipher_suite,received_tls_cert,received_tls_cert_matches_domain,received_tls_cert_common_name,received_tls_cert_issuer,received_tls_cert_alternative_names,received_status,received_headers,received_body,is_known_blockpage,page_signature,outcome,matches_template,no_response_in_measurement_matches_template,controls_failed,stateful_block,measurement_id,source
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-05,2022-04-05 04:27:42.149895 UTC,2022-04-05 04:27:43.855025 UTC,2,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,"Get ""https://95.85.120.143:443/"": read tcp 141.212.123.195:42452->95.85.120.143:443: read: connection reset by peer",,,,,,,[],,[],,,,read/tcp.reset,false,true,false,false,9f3db909290957c7b7715a7667c0db23,CP_Quack-https-2022-04-04-23-28-48
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-05,2022-04-05 04:27:31.245737 UTC,2022-04-05 04:27:31.738555 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,"Get ""https://95.85.120.143:443/"": read tcp 141.212.123.195:49734->95.85.120.143:443: read: connection reset by peer",,,,,,,[],,[],,,,read/tcp.reset,false,true,false,false,9f3db909290957c7b7715a7667c0db23,CP_Quack-https-2022-04-04-23-28-48
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-05,2022-04-05 04:27:36.739177 UTC,2022-04-05 04:27:37.149322 UTC,1,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,"Get ""https://95.85.120.143:443/"": read tcp 141.212.123.195:53166->95.85.120.143:443: read: connection reset by peer",,,,,,,[],,[],,,,read/tcp.reset,false,true,false,false,9f3db909290957c7b7715a7667c0db23,CP_Quack-https-2022-04-04-23-28-48
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-05,2022-04-05 04:26:47.473789 UTC,2022-04-05 04:26:47.870288 UTC,1,95.85.120.174,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,"Get ""https://95.85.120.174:443/"": read tcp 141.212.123.195:48780->95.85.120.174:443: read: connection reset by peer",,,,,,,[],,[],,,,read/tcp.reset,false,true,false,false,67c7593066685fb18264da3b431e3925,CP_Quack-https-2022-04-04-23-28-48
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-05,2022-04-05 04:26:52.870710 UTC,2022-04-05 04:26:53.267594 UTC,2,95.85.120.174,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,"Get ""https://95.85.120.174:443/"": read tcp 141.212.123.195:54528->95.85.120.174:443: read: connection reset by peer",,,,,,,[],,[],,,,read/tcp.reset,false,true,false,false,67c7593066685fb18264da3b431e3925,CP_Quack-https-2022-04-04-23-28-48
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-05,2022-04-05 04:26:41.050705 UTC,2022-04-05 04:26:42.473721 UTC,0,95.85.120.174,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,"Get ""https://95.85.120.174:443/"": read tcp 141.212.123.195:38596->95.85.120.174:443: read: connection reset by peer",,,,,,,[],,[],,,,read/tcp.reset,false,true,false,false,67c7593066685fb18264da3b431e3925,CP_Quack-https-2022-04-04-23-28-48
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-05,2022-04-05 04:27:01.916847 UTC,2022-04-05 04:27:03.537665 UTC,2,217.174.238.158,217.174.224.0/20,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,"Get ""https://217.174.238.158:443/"": read tcp 141.212.123.195:40836->217.174.238.158:443: read: connection reset by peer",,,,,,,[],,[],,,,read/tcp.reset,false,true,false,false,1d799fbb422e5be9b1d3d34263c5bf1c,CP_Quack-https-2022-04-04-23-28-48
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-05,2022-04-05 04:26:51.082517 UTC,2022-04-05 04:26:51.515860 UTC,0,217.174.238.158,217.174.224.0/20,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,"Get ""https://217.174.238.158:443/"": read tcp 141.212.123.195:48834->217.174.238.158:443: read: connection reset by peer",,,,,,,[],,[],,,,read/tcp.reset,false,true,false,false,1d799fbb422e5be9b1d3d34263c5bf1c,CP_Quack-https-2022-04-04-23-28-48
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-05,2022-04-05 04:26:56.516207 UTC,2022-04-05 04:26:56.916280 UTC,1,217.174.238.158,217.174.224.0/20,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,"Get ""https://217.174.238.158:443/"": read tcp 141.212.123.195:49972->217.174.238.158:443: read: connection reset by peer",,,,,,,[],,[],,,,read/tcp.reset,false,true,false,false,1d799fbb422e5be9b1d3d34263c5bf1c,CP_Quack-https-2022-04-04-23-28-48
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-05-11,2023-05-11 04:46:38.281549 UTC,2023-05-11 04:46:39.209437 UTC,0,95.85.97.29,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,,,,,,,,,[],,[],,,,expected/match,true,false,false,false,ea43cc1475fe5ac588d459d02a68e1fe,CP_Quack-https-2023-05-10-23-47-18
