date,transport,users,frac
2017-05-04,snowflake,0.08,100.00
2017-05-05,snowflake,1.14,100.00
2017-05-06,snowflake,0.40,100.00
2017-05-07,snowflake,0.40,100.00
2017-05-08,snowflake,0.40,100.00
2017-05-09,snowflake,0.46,100.00
2017-05-10,snowflake,1.14,100.00
2017-05-11,snowflake,0.37,100.00
2017-05-13,snowflake,0.03,100.00
2017-05-14,snowflake,0.40,100.00
2017-05-15,snowflake,0.40,100.00
2017-05-16,snowflake,0.40,100.00
2017-05-17,snowflake,0.46,100.00
2017-05-18,snowflake,1.14,100.00
2017-05-19,snowflake,0.40,100.00
2017-05-20,snowflake,0.40,100.00
2017-05-21,snowflake,0.40,100.00
2017-05-22,snowflake,0.40,100.00
2017-05-23,snowflake,0.37,100.00
2017-05-24,snowflake,0.03,100.00
2017-05-25,snowflake,0.40,100.00
2017-05-26,snowflake,0.40,100.00
2017-05-27,snowflake,0.40,100.00
2017-05-28,snowflake,0.40,100.00
2017-05-29,snowflake,0.46,100.00
2017-05-30,snowflake,1.20,100.00
2017-05-31,snowflake,1.20,100.00
2017-06-01,snowflake,1.14,100.00
2017-06-02,snowflake,0.40,100.00
2017-06-03,snowflake,0.40,100.00
2017-06-04,snowflake,0.40,100.00
2017-06-05,snowflake,0.40,100.00
2017-06-06,snowflake,0.40,100.00
2017-06-07,snowflake,0.40,100.00
2017-06-08,snowflake,0.40,100.00
2017-06-09,snowflake,0.46,100.00
2017-06-10,snowflake,1.14,100.00
2017-06-11,snowflake,0.40,100.00
2017-06-12,snowflake,0.40,100.00
2017-06-13,snowflake,0.46,100.00
2017-06-14,snowflake,1.14,100.00
2017-06-15,snowflake,0.40,100.00
2017-06-16,snowflake,0.40,100.00
2017-06-17,snowflake,0.40,100.00
2017-06-18,snowflake,0.37,100.00
2017-06-19,snowflake,0.06,100.00
2017-06-20,snowflake,0.74,100.00
2017-06-22,snowflake,0.16,100.00
2017-06-23,snowflake,0.35,100.00
2017-06-24,snowflake,0.40,100.00
2017-06-25,snowflake,0.40,100.00
2017-06-26,snowflake,0.63,100.00
2017-06-27,snowflake,0.97,100.00
2017-06-28,snowflake,0.40,100.00
2017-06-29,snowflake,0.40,100.00
2017-06-30,snowflake,0.40,100.00
