date,fingerprint,type,bytes,num_instances,coverage
2016-12-28,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-read,4096.00,1.00,0.47
2016-12-28,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-write,27648.00,1.00,0.47
2016-12-29,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-read,0.00,1.00,0.53
2016-12-29,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-write,0.00,1.00,0.53
2016-12-30,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,read,2557280.71,1.00,0.08
2016-12-30,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,write,221627.73,1.00,0.08
2016-12-31,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,read,35805047.47,1.00,1.00
2016-12-31,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,write,2965128.53,1.00,1.00
2017-01-01,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-read,273011.20,1.00,0.97
2017-01-01,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-write,2623507.63,1.00,0.97
2017-01-01,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,read,60339200.00,1.00,1.00
2017-01-01,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,write,6495744.00,1.00,1.00
2017-01-02,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-read,91150.51,1.00,1.00
2017-01-02,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-write,2315831.47,1.00,1.00
2017-01-02,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,read,61755130.31,1.00,1.00
2017-01-02,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,write,6308124.44,1.00,1.00
2017-01-03,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-read,16137.10,1.00,1.00
2017-01-03,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,dirreq-write,403350.19,1.00,1.00
2017-01-03,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,read,40049516.09,1.00,1.00
