#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-bridge-transport.csv?start=2023-01-04&end=2023-04-04&transport=!%3COR%3E&transport=snowflake&transport=%3COR%3E
#
date,transport,users,frac
2023-01-07,!<OR>,187219,100
2023-01-07,<OR>,2866,100
2023-01-07,snowflake,92943,100
2023-01-08,!<OR>,194728,92
2023-01-08,<OR>,3039,92
2023-01-08,snowflake,101110,92
2023-01-09,!<OR>,195847,90
2023-01-09,<OR>,2897,90
2023-01-09,snowflake,100281,90
2023-01-10,!<OR>,126233,30
2023-01-10,<OR>,1057,30
2023-01-10,snowflake,83933,30
2023-01-15,!<OR>,193678,99
2023-01-15,<OR>,2847,99
2023-01-15,snowflake,97952,99
2023-01-16,!<OR>,186691,97
2023-01-16,<OR>,2879,97
2023-01-16,snowflake,89932,97
2023-01-17,!<OR>,180788,95
2023-01-17,<OR>,3049,95
2023-01-17,snowflake,84895,95
2023-01-18,!<OR>,176108,97
2023-01-18,<OR>,2982,97
2023-01-18,snowflake,81782,97
2023-01-19,!<OR>,173367,96
2023-01-19,<OR>,3010,96
2023-01-19,snowflake,82013,96
2023-01-20,!<OR>,179083,92
2023-01-20,<OR>,3107,92
2023-01-20,snowflake,78766,92
2023-01-21,!<OR>,177069,96
2023-01-21,<OR>,3117,96
2023-01-21,snowflake,80905,96
2023-01-22,!<OR>,180168,97
2023-01-22,<OR>,3203,97
2023-01-22,snowflake,83881,97
2023-01-23,!<OR>,182258,95
2023-01-23,<OR>,3117,95
2023-01-23,snowflake,86000,95
2023-01-24,!<OR>,180216,99
2023-01-24,<OR>,2747,99
2023-01-24,snowflake,87436,99
2023-01-25,!<OR>,185519,98
2023-01-25,<OR>,2985,98
2023-01-25,snowflake,92450,98
2023-01-26,!<OR>,185266,98
2023-01-26,<OR>,3019,98
2023-01-26,snowflake,92938,98
2023-01-27,!<OR>,191843,98
2023-01-27,<OR>,2957,98
2023-01-27,snowflake,94933,98
2023-01-28,!<OR>,193664,99
2023-01-28,<OR>,2986,99
2023-01-28,snowflake,96512,99
2023-01-29,!<OR>,194652,99
2023-01-29,<OR>,3063,99
2023-01-29,snowflake,97137,99
2023-01-30,!<OR>,194048,97
2023-01-30,<OR>,3268,97
2023-01-30,snowflake,93629,97
2023-01-31,!<OR>,194536,99
2023-01-31,<OR>,3077,99
2023-01-31,snowflake,96109,99
2023-02-01,!<OR>,185604,104
2023-02-01,<OR>,2924,104
2023-02-01,snowflake,91853,104
2023-02-02,!<OR>,191828,100
2023-02-02,<OR>,2775,100
2023-02-02,snowflake,94101,100
2023-02-03,!<OR>,183455,108
2023-02-03,<OR>,2559,108
2023-02-03,snowflake,89391,108
2023-02-04,!<OR>,200175,100
2023-02-04,<OR>,2926,100
2023-02-04,snowflake,98328,100
2023-02-05,!<OR>,193368,102
2023-02-05,<OR>,3091,102
2023-02-05,snowflake,94035,102
2023-02-06,!<OR>,192539,102
2023-02-06,<OR>,3278,102
2023-02-06,snowflake,92634,102
2023-02-07,!<OR>,190043,101
2023-02-07,<OR>,3187,101
2023-02-07,snowflake,91956,101
2023-02-08,!<OR>,185585,98
2023-02-08,<OR>,3418,98
2023-02-08,snowflake,87057,98
2023-02-09,!<OR>,194067,84
2023-02-09,<OR>,3744,84
2023-02-09,snowflake,99503,84
2023-02-10,!<OR>,181829,100
2023-02-10,<OR>,2971,100
2023-02-10,snowflake,87385,100
2023-02-11,!<OR>,183641,100
2023-02-11,<OR>,3038,100
2023-02-11,snowflake,87219,100
2023-02-12,!<OR>,183913,100
2023-02-12,<OR>,3235,100
2023-02-12,snowflake,87133,100
2023-02-13,!<OR>,180897,98
2023-02-13,<OR>,3246,98
2023-02-13,snowflake,82364,98
2023-02-14,!<OR>,174378,102
2023-02-14,<OR>,2918,102
