date,fingerprint,transport,users,num_instances,coverage
2017-01-01,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.26,1.00,0.82
2017-01-02,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-01-03,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.09,1.00,0.82
2017-01-03,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.05,1.00,0.68
2017-01-04,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.26,1.00,1.00
2017-01-05,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.40,1.00,1.00
2017-01-06,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.14,1.00,0.68
2017-01-09,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.03,1.00,0.35
2017-01-09,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.03,1.00,0.35
2017-01-10,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.20,1.00,1.00
2017-01-10,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.20,1.00,1.00
2017-01-11,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.17,1.00,0.91
2017-01-11,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.17,1.00,0.91
2017-01-12,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.07,1.00,0.59
2017-01-13,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.33,1.00,0.91
2017-01-19,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.07,1.00,0.59
2017-01-20,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.34,1.00,1.00
2017-01-20,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.06,1.00,0.59
2017-01-21,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.22,1.00,1.00
2017-01-21,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.18,1.00,0.91
2017-01-22,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.34,1.00,1.00
2017-01-22,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.06,1.00,0.59
2017-01-23,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.27,1.00,1.00
2017-01-23,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.27,1.00,1.00
2017-01-24,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.53,1.00,1.00
2017-01-24,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.53,1.00,1.00
